"first_author","affiliation","publications","citations","year_start","year_end","top_topics","publication_types","top_authors","top_journals","top_institutions","top_conferences","not_found"
"T-I Hsu","National Health Research Institutes","2",10,2017,2017,"Cancer research|Biology|Downregulation and upregulation|DNA demethylation|Apoptosis|Molecular oncology|Temozolomide|Glioma|Cell cycle|Carcinogenesis","Other|Journal publications","Wu-Chou Su|Jan Jong Hung|Kai Yen Chang|W-L Lo|J-Y Chuang|C-Y Ko|R-M Chen|S-Y Chou|W-C Chang|S-C Lin","Oncogene","National Health Research Institutes|Taipei Medical University|National Cheng Kung University",NA,NA
"Emmanuel Dornier","French Institute of Health and Medical Research","5",301,2012,2017,"Biology|Cell biology|Notch signaling pathway|Tetraspanin|Amyloid precursor protein secretase|Molecular biology|Endoplasmic reticulum|ADAM10|Ectodomain|Cell culture","Journal publications","Claude Boucheix|Eric Rubinstein|Jean-François Ottavi|Franck Coumailleau|Julien Moretti|François Schweisguth|Philippe Mauduit|Stéphanie Charrin|Julien Saint-Pol|Etienne Eschenbrenner","Journal of Cell Biology|Journal of Biological Chemistry|Biochemical Society Transactions|Blood","French Institute of Health and Medical Research|University of Paris-Sud|Centre national de la recherche scientifique|Pasteur Institute|Paris Diderot University|Paris Descartes University",NA,NA
"HIROFUMI YAMAMOTO","Osaka University","355",10787,1983,2020,"Medicine|Colorectal cancer|Biology|Cancer|Cancer research|Internal medicine|Surgery|Pathology|Immunology|Oncology","Journal publications|Other|Repository papers","Masaki Mori|Yuichiro Doki|Tsunekazu Mizushima|Ichiro Takemasa|Junichi Nishimura|Taishi Hata|Mitsugu Sekimoto|Naotsugu Haraguchi|Masataka Ikeda|Mamoru Uemura","Annals of Surgical Oncology|International Journal of Oncology|Clinical Cancer Research|Surgery Today|Surgical Endoscopy and Other Interventional Techniques|Oncology Reports|British Journal of Cancer|Cancer Research|Cancer Science|Cell Stem Cell","Osaka University|Kyushu University|University of Tokyo|National Institute of Radiological Sciences|Sapporo Medical University|Tokyo Medical University|Azabu University|Kyoto University|Osaka City University|Japanese Foundation for Cancer Research",NA,NA
"BO LI","University of Science and Technology of China","621",119848,2010,2019,"Physics|Particle physics|Large Hadron Collider|Nuclear physics|Atlas (anatomy)|Luminosity|Standard Model|Monte Carlo method|Detector|Hadron","Journal publications|Other|Repository papers","Helenka Przysiezniak|Dirk Zerwas|Georges Aad|Dieter Hoffmann|J. Levêque|Jean-Claude Clemens|Nicolas Massol|E. Le Guirriec|Gilles Sauvage|Alexandre Rozanov","European Physical Journal C|Journal of High Energy Physics|Physical Review D|Journal of Instrumentation|International Journal of Oncology|Cellular Physiology and Biochemistry|New Journal of Physics|Apoptosis|Physics Letters B|Free Radical Biology and Medicine","Aix-Marseille University|University of Savoy|Blaise Pascal University|University of Paris-Sud|CERN|University of Science and Technology of China|University of Bonn|University of Freiburg|University of Milan|Centre national de la recherche scientifique",NA,NA
"EUN YOUNG GIL","Korea University","4",30,2012,2016,"Breast cancer|Cancer research|Vaccination|Cancer stem cell|Biology|Immunology|Cancer cell|Peptide vaccine|Immunity|Immune adjuvant","Journal publications","Uk Hyun Jo|Kyong Hwa Park|Yeul Hong Kim|Jae Hong Seo|Jinho Kang|Mary L. Disis|Eun Sook Lee|Hye-Jin Lee|Vy Phan-Lai|Insun Kim","Breast Cancer Research and Treatment|International Journal of Oncology|Cancer Research","Korea University|University of California, Los Angeles|University of Washington|Hanyang University",NA,NA
"YUKI FUJISE","Tottori University","25",142,2010,2017,"Medicine|Hepatocellular carcinoma|Radiology|Pathology|Magnetic resonance imaging|Cancer research|Molecular medicine|Radiofrequency ablation|Internal medicine|Apoptosis","Journal publications|Other","Yoshikazu Murawaki|Masahiko Koda|Tomomitsu Matono|Jun-ichi Okano|Shiho Tokunaga|Jun Kato|Manabu Kishina|Ryo Abe|Takaaki Sugihara|Ryu Imamoto","European Journal of Radiology|Experimental and Therapeutic Medicine|International Journal of Oncology|Nephron|Journal of Hepatology|Molecular and Clinical Oncology|Hepatology Research|Journal of Gastroenterology|Clinical Journal of Gastroenterology|The Journal of Medical Investigation","Tottori University",NA,NA
"CHIACHEN CHEN","National Taiwan University","2",142,2013,2013,"Apoptosis|Cyclin D1|Oncogene|Cell cycle|Cancer research|Cell growth|Signal transduction|Protein kinase B|PI3K/AKT/mTOR pathway|Biology","Journal publications","Mary B. Breslin|Michael S. Lan|Yuan-Ching Chang","International Journal of Oncology","Boston Children's Hospital|National Taiwan University|Mackay Memorial Hospital",NA,NA
"WEI YANG","Nanjing Medical University","3",10,2013,2017,"Gene|Cancer|TPM1|Epigenetics|Cancer research|Genetics|Molecular medicine|Biology|Cell cycle|Carcinogenesis","Journal publications","Xiaoyuan Wang|Yueming Sun|Kedong Li|Haofeng Liu|Wei Zheng","International Journal of Oncology|Surgical Laparoscopy Endoscopy & Percutaneous Techniques","Nanjing Medical University",NA,NA
"MICHIYO YAMAMURA","Hyogo College of Medicine","17",82,2010,2019,"Oncogene|Cancer research|Biology|Cell|Cancer|Cell cycle|Medicine|Carcinoma|Surgery|Molecular medicine","Journal publications","Hiromitsu Kishimoto|Kazuki Takaoka|Kazuma Noguchi|Masahiro Urade|Emi Segawa|Yusuke Zushi|Tomoko Hashimoto-Tamaoki|Yoshiro Nakano|Joji Tamaoka|Noriaki Tanaka","International Journal of Oncology|International Journal of Oral and Maxillofacial Surgery|PLOS ONE|Experimental and Therapeutic Medicine|Molecular Medicine Reports|Oncology Reports|International Journal of Implant Dentistry|European Journal of Cancer|Journal of Oral and Maxillofacial Surgery|Japanese Journal of Oral and Maxillofacial Surgery","Hyogo College of Medicine|Osaka University|Hyogo University of Health Sciences",NA,NA
"TONI IBRAHIM","Saint Joseph's University","185",3499,2002,2020,"Medicine|Pathology|Internal medicine|Cancer|Bone metastasis|Zoledronic acid|Biology|Oncology|Metastasis|Breast cancer","Journal publications|Other","Dino Amadori|Laura Mercatali|Alberto Bongiovanni|Chiara Liverani|Yibin Kang|Daniele Santini|Alessandro De Vita|Yong Wei|Fred Saad|Alison T. Stopeck","Annals of Oncology|Journal of Clinical Oncology|Nature Cell Biology|Nature Medicine|PLOS ONE|Lancet Oncology|European Journal of Cancer|Scientific Reports|Cancer Cell|OncoTargets and Therapy","Princeton University|Amgen|University of Michigan|Université de Montréal|University of Paris-Sud|European Institute of Oncology|University of Pennsylvania|University of Arizona|Marche Polytechnic University|Rabin Medical Center",NA,NA
"LI MA","Brown University","1",38,2012,2012,"Cell|Molecular biology|HDAC6|Survivin|CREB-binding protein|Cell nucleus|Cytokinesis|Cancer research|Nuclear export signal|Estrogen receptor","Journal publications","Zachary A. Cooper|Michael P. Holloway|Matthew Riolo|Y. Eugene Chin|Cesario Bianchi|Evgeny Yakirevich|Rachel A. Altura|Yan Cheng","Journal of Biological Chemistry","Brown University",NA,NA
"Steffen Zender","Hannover Medical School","22",1002,2003,2019,"Biology|Cancer research|Immunology|Apoptosis|Medicine|Caspase 8|Small interfering RNA|Liver function|Fas receptor|Fas ligand","Journal publications|Other","Michael P. Manns|Nisar P. Malek|Stefan Kubicka|Irina Nickeleit|Achim Gossler|Robert Geffers|Inga Sörensen|B Mundt|Lars Zender|Sebastian Hütker","Cancer Cell|Proceedings of the National Academy of Sciences of the United States of America|Frontiers in Medicine|PLOS ONE|BMC Research Notes|American Journal of Physiology-renal Physiology|Cell Division|Cardiology Journal|Journal of clinical & translational endocrinology|Experimental and Clinical Endocrinology & Diabetes","Hannover Medical School|University of Bonn|Max Planck Society|Aix-Marseille University|Charité|University of Münster|Eppendorf (Germany)",NA,NA
"Luke Martin McCaffrey","McGill University","31",1062,2009,2020,"Biology|Cell polarity|Cell biology|Cancer research|Metastasis|Signal transduction|Epithelial polarity|Carcinogenesis|Breast cancer|Morphogenesis","Journal publications|Repository papers|Other","Ian G. Macara|Ruba Halaoui|Constantina Mihai|Sara Al Habyan|JoAnne Montalbano|Sudipa June Chatterjee|Maia Al-Masri|Carlis Rejon|Joseph Szymborski|Christopher Moraes","Oncogene|Cancer Cell|Genes & Development|Nature Communications|Trends in Cell Biology|Cold Spring Harbor Perspectives in Biology|bioRxiv|Cancer Research|Molecular Biology of the Cell|Philosophical Transactions of the Royal Society B","McGill University|University of Virginia|Vanderbilt University Medical Center|Georgia Institute of Technology|University of Michigan|Montreal Heart Institute|University at Buffalo|University of Western Ontario|University of Kansas|University of Alberta",NA,NA
"Lu Wang","Northwestern University","55",1036,2009,2019,"Biology|Cancer research|Cell biology|Molecular biology|Chromatin|Cancer|Carcinogenesis|CARM1|Histone|Transcription (biology)","Journal publications|Patents|Other|Repository papers","Ali Shilatifard|Zibo Zhao|Stacy A. Marshall|Qiang Xu|Clayton K. Collings|Emily J. Rendleman|Wei Xu|Elizabeth T. Bartom|Christie C. Sze|Edwin R. Smith","Cancer Cell|Oncogene|Genes & Development|PLOS ONE|Nature Genetics|Cell Death and Disease|Journal of the American Chemical Society|Science Advances|Nature Medicine|Cell","Northwestern University|Nanjing University|University of Wisconsin-Madison|Nanjing Medical University|Saint Louis University|Chinese Academy of Sciences|University of Florida|University of Colorado Denver|Howard Hughes Medical Institute|Morgridge Institute for Research",NA,NA
"Corentin Herbert","Paul Sabatier University","31",730,2001,2018,"Biology|Fibroblast growth factor|Fibroblast growth factor receptor|Allosteric regulation|Angiogenesis|Cancer research|Immunology|Signal transduction|Receptor tyrosine kinase|Growth factor","Journal publications|Patents|Other","Francoise Bono|Chantal Alcouffe|Harald Schwalbe|Marc Bianciotto|Jean-Pascal Herault|David Sibrac|Peter Carmeliet|Jean-Marc Herbert|Francesco Luigi Gervasio|Frederik De Smet","Cancer Cell|Molecular Plant-microbe Interactions|Journal of Biological Chemistry|Molecular Microbiology|Pharmaceutical patent analyst|Fungal Genetics and Biology|International Journal of Molecular Medicine|Cancer Research|Journal of Cell Science|Journal of Laboratory Automation","Goethe University Frankfurt|Katholieke Universiteit Leuven|University of Liège|Yale University|Monash University|University of Tokyo|Vrije Universiteit Brussel|University of Cambridge|Hungarian Academy of Sciences|Paul Sabatier University",NA,NA
"Janice D. Thomas","Rutgers University","3",364,2014,2016,"Biology|Transcription factor|Oncogene|Cancer research|Activator (genetics)|Cancer cell|mTORC1|Carcinogenesis|Cell growth|Signal transduction","Journal publications","X. F. Steven Zheng|Laura E. Morris|Jun Hung Cho|Yue Hua Wei|Yan Jie Zhang|Hui Yun Wang|Chi Kwan Tsang|Yuan Liu|Yanjie Zhang|X. F. S. Zheng","Cancer Cell|Nature Communications","Rutgers University|Sun Yat-sen University|Shanghai Jiao Tong University",NA,NA
"King Ching Ho","Queen's University","2",331,2010,2011,"Immunology|Biology|Promoter|Hippo signaling pathway|CYR61|CTGF|Oncogene|Signal transduction|Transcription factor|Cancer cell","Journal publications","Xiaolong Yang|Dulcie Lai|Yawei Hao","Cancer Research","Queen's University",NA,NA
"Nathalie Delgehyr","University of Cambridge","5",174,2008,2012,"Biology|Cell biology|Microtubule|Actin|Spindle pole body|Astral microtubules|Spindle apparatus|Kinesin 13|Basal body|Pericentriolar material","Journal publications","Hélène Rangone|Giuliano Callaini|Maria Giovanna Riparbelli|Guojie Mao|David M. Glover|Marisa Segal|Cristina Cepeda-García|Rogier ten Hoopen|Brian D. M. Tom|Jingyan Fu","Current Biology|Proceedings of the National Academy of Sciences of the United States of America|Molecular Biology of the Cell|Journal of Cell Science","University of Cambridge|University of Siena",NA,NA
"Rajesh K. Grover","Scripps Research Institute","28",1170,2001,2016,"Biology|Chemistry|Biochemistry|Antibody|Antigen|Protein M|Molecular biology|Thioflavin|Amyloid|Fluorescence anisotropy","Journal publications|Patents","Richard A. Lerner|Daniel R. Salomon|Teresa M. Jones|Raja Roy|Ian A. Wilson|Xueyong Zhu|John I. Glass|Nacyra Assad-Garcia|Vaughn V. Smider|Diane F. Jelinek","Journal of Structural Biology|Science|Proceedings of the National Academy of Sciences of the United States of America|Angewandte Chemie|Chemosphere|PLOS ONE|Disease Markers|Quarterly Reviews of Biophysics|Nucleic Acids Research|Tetrahedron","Scripps Research Institute|Central Drug Research Institute|University of California, Santa Cruz|Centre for Cellular and Molecular Biology|Mayo Clinic|University of Texas Medical Branch|University of Oxford|University College of Medical Sciences|National Institute of Communicable Diseases|University of Delhi",NA,NA
"Kevin Y. Lee","Heritage College of Osteopathic Medicine","70",5288,1977,2019,"Biology|Internal medicine|Endocrinology|Adipose tissue|White adipose tissue|Adipocyte|Molecular biology|Uterus|Gene|Cell biology","Journal publications|Other|Patents|Conference publications|Book chapters","C. Ronald Kahn|Jeremie Boucher|Siegfried Ussar|John P. Lydon|Jae Wook Jeong|Francesco J. DeMayo|Enxuan Jing|Yazmín Macotela|Marcelo A. Mori|Francesco J. DeMayo","Diabetes|Proceedings of the National Academy of Sciences of the United States of America|Cell Metabolism|Nature Communications|Journal of Clinical Investigation|Science Translational Medicine|The FASEB Journal|Biology of Reproduction|The EMBO Journal|Obesity","Harvard University|Baylor College of Medicine|Ohio University|Heritage College of Osteopathic Medicine|University of California, San Francisco|Leipzig University|Beth Israel Deaconess Medical Center|Max Planck Society|Brigham and Women's Hospital|Boston University","ECTC: Electronic Components and Technology Conference",NA
"Shuyu Ren","University of Washington","16",1485,2011,2017,"Biology|Kidney|Immunology|Internal medicine|Endocrinology|Gene silencing|Nephropathy|Cell biology|Wnt signaling pathway|Medicine","Journal publications|Patents","Jeremy S. Duffield|Cuiyan Xin|Bryce G. Johnson|Deidre A. MacKenna|Monica Grafals|Didier Portilla|B. Nelson Chau|Vivek Kaimal|Jonathan Himmelfarb|Naoki Nakagawa","Journal of The American Society of Nephrology|Science Translational Medicine|Journal of Clinical Investigation|Proceedings of the National Academy of Sciences of the United States of America|The Journal of Pathology|PLOS ONE|Trends in Molecular Medicine|Kidney International|Biomaterials|Current Opinion in Nephrology and Hypertension","University of Washington|Biogen Idec|Regulus Therapeutics|Meharry Medical College|Genzyme|Georgetown University|University of Virginia|Boston Children's Hospital|Harvard University|National Taiwan University",NA,NA
"Zhongyuan Wang","Shenzhen University","21",821,2012,2020,"Cell biology|Materials science|Nanoparticle|Biology|Cancer research|Carcinogenesis|Catenin|Kinase|PLGA|Docetaxel","Journal publications|Other","Yanping Wu|Xudong Zhang|Xiaowei Zeng|Lin Mei|Laiqiang Huang|Hongbo Chen|Desheng Lu|Qi Sun|Jiaxing Song|Zijie Su","Proceedings of the National Academy of Sciences of the United States of America|Biomaterials|Acta Biomaterialia|Scientific Reports|Particle & Particle Systems Characterization|Journal of Biomedical Nanotechnology|British Journal of Pharmacology|International Journal of Nanomedicine|Protein Expression and Purification|Nanoscale Research Letters","Tsinghua University|Shenzhen University|University of California, San Diego|Wuhan University|Ministry of Education|National University of Singapore|Peking Union Medical College|Chinese Academy of Sciences|Shanghai Jiao Tong University|Southern Medical University",NA,NA
